ID,Team,League,scraped_date,Gender
1,FC Barcelona,Liga F,2025-12-09 01:50:48,Female
2,Arsenal,Women's Super League,2025-12-09 01:50:48,Female
3,Chelsea,Women's Super League,2025-12-09 01:50:48,Female
4,OL Lyonnes,Division 1 Féminine,2025-12-09 01:50:48,Female
5,Bayern München,Frauen-Bundesliga,2025-12-09 01:50:48,Female
6,Real Madrid,Liga F,2025-12-09 01:50:48,Female
7,Manchester United,Women's Super League,2025-12-09 01:50:48,Female
8,Manchester City,Women's Super League,2025-12-09 01:50:48,Female
9,Paris Saint-Germain,Division 1 Féminine,2025-12-09 01:50:48,Female
10,Wolfsburg,Frauen-Bundesliga,2025-12-09 01:50:48,Female
11,London City Lionesses,Women's Super League,2025-12-09 01:50:48,Female
12,Washington Spirit,National Women's Soccer League,2025-12-09 01:50:48,Female
13,Kansas City Current,National Women's Soccer League,2025-12-09 01:50:48,Female
14,Eintracht Frankfurt,Frauen-Bundesliga,2025-12-09 01:50:48,Female
15,Juventus,Serie A Femminile,2025-12-09 01:50:48,Female
16,Orlando Pride,National Women's Soccer League,2025-12-09 01:50:48,Female
17,Gotham FC,National Women's Soccer League,2025-12-09 01:50:48,Female
18,Atlético de Madrid,Liga F,2025-12-09 01:50:48,Female
19,Aston Villa,Women's Super League,2025-12-09 01:50:48,Female
20,Roma,Serie A Femminile,2025-12-09 01:50:48,Female
21,Paris FC,Division 1 Féminine,2025-12-09 01:50:48,Female
22,Portland Thorns FC,National Women's Soccer League,2025-12-09 01:50:48,Female
23,Houston Dash,National Women's Soccer League,2025-12-09 01:50:48,Female
24,San Diego Wave FC,National Women's Soccer League,2025-12-09 01:50:48,Female
25,Tottenham Hotspur,Women's Super League,2025-12-09 01:50:48,Female
26,Brighton & Hove Albion,Women's Super League,2025-12-09 01:50:48,Female
27,FC Fleury 91,Division 1 Féminine,2025-12-09 01:50:48,Female
28,Seattle Reign FC,National Women's Soccer League,2025-12-09 01:50:48,Female
29,Angel City FC,National Women's Soccer League,2025-12-09 01:50:48,Female
30,Real Sociedad,Liga F,2025-12-09 01:50:48,Female
31,Bayer 04 Leverkusen,Frauen-Bundesliga,2025-12-09 01:50:48,Female
32,West Ham United,Women's Super League,2025-12-09 01:50:48,Female
33,Everton,Women's Super League,2025-12-09 01:50:48,Female
34,North Carolina Courage,National Women's Soccer League,2025-12-09 01:50:48,Female
35,Chicago Red Stars,National Women's Soccer League,2025-12-09 01:50:48,Female
36,Racing Louisville,National Women's Soccer League,2025-12-09 01:50:48,Female
37,Athletic Club,Liga F,2025-12-09 01:50:48,Female
38,Utah Royals,National Women's Soccer League,2025-12-09 01:50:48,Female
39,SL Benfica,Campeonato Nacional Feminino,2025-12-09 01:50:48,Female
40,SC Freiburg,Frauen-Bundesliga,2025-12-09 01:50:48,Female
41,1. FC Köln,Frauen-Bundesliga,2025-12-09 01:50:48,Female
42,FC Badalona Women,Liga F,2025-12-09 01:50:48,Female
43,RB Leipzig,Frauen-Bundesliga,2025-12-09 01:50:48,Female
44,Liverpool,Women's Super League,2025-12-09 01:50:48,Female
45,Bay FC,National Women's Soccer League,2025-12-09 01:50:48,Female
46,TSG 1899 Hoffenheim,Frauen-Bundesliga,2025-12-09 01:50:48,Female
47,SGS Essen,Frauen-Bundesliga,2025-12-09 01:50:48,Female
48,Werder Bremen,Frauen-Bundesliga,2025-12-09 01:50:48,Female
49,Leicester City,Women's Super League,2025-12-09 01:50:48,Female
50,CD Tenerife Femenino,Liga F,2025-12-09 01:50:48,Female
51,Sevilla,Liga F,2025-12-09 01:50:48,Female
52,1. FC Union Berlin,Frauen-Bundesliga,2025-12-09 01:50:48,Female
53,Madrid CFF,Liga F,2025-12-09 01:50:48,Female
54,Le Havre AC,Division 1 Féminine,2025-12-09 01:50:48,Female
55,FC Nantes,Division 1 Féminine,2025-12-09 01:50:48,Female
56,Olympique de Marseille,Division 1 Féminine,2025-12-09 01:50:48,Female
57,Montpellier HSC,Division 1 Féminine,2025-12-09 01:50:48,Female
58,Dijon FCO,Division 1 Féminine,2025-12-09 01:50:48,Female
59,Levante UD,Liga F,2025-12-09 01:50:48,Female
60,Deportivo de La Coruña,Liga F,2025-12-09 01:50:48,Female
61,RC Strasbourg Alsace,Division 1 Féminine,2025-12-09 01:50:48,Female
62,RCD Espanyol,Liga F,2025-12-09 01:50:48,Female
63,AFC Ajax,Vrouwen Eredivisie,2025-12-09 01:50:48,Female
64,SK Slavia Praha,I. liga žen,2025-12-09 01:50:48,Female
65,FC Rosengård,Damallsvenskan,2025-12-09 01:50:48,Female
66,Glasgow City,Women's Premier League,2025-12-09 01:50:48,Female
67,1. FC Nürnberg,Frauen-Bundesliga,2025-12-09 01:50:48,Female
68,Granada CF,Liga F,2025-12-09 01:50:48,Female
69,AS Saint-Étienne,Division 1 Féminine,2025-12-09 01:50:48,Female
70,Hamburger SV,Frauen-Bundesliga,2025-12-09 01:50:48,Female
71,FC Carl Zeiss Jena,Frauen-Bundesliga,2025-12-09 01:50:48,Female
72,RC Lens,Division 1 Féminine,2025-12-09 01:50:48,Female
73,SD Eibar,Liga F,2025-12-09 01:50:48,Female
74,DUX Logroño,Liga F,2025-12-09 01:50:48,Female
75,Zurich,Women's Super League,2025-12-09 01:50:48,Female
76,Alhama CF,Liga F,2025-12-09 01:50:48,Female
